index	name	date	distance_km	climb_m
391	Tansley	10-6-2010	6.9	183.0
849	Barley Cabin	11-6-2010	6.4	305.0
175	Ennerdale Horseshoe	12-6-2010	37.0	2286.0
760	Foel Fras	12-6-2010	19.3	945.0
731	Man V Horse Marathon	12-6-2010	35.4	1219.0
201	Traprain Law	12-6-2010	10.5	213.0
301	Accelerate Edale Race	13-6-2010	7.6	405.0
829	Kinder Trog	13-6-2010	25.7	1064.0
527	Knowl Hill	13-6-2010	9.7	396.0
252	Wharmton Dash	13-6-2010	3.2	183.0
420	Trunce 5	14-6-2010	6.8	168.0
240	St Ives Trail	15-6-2010	8.0	152.0
215	Up The Beast	15-6-2010	7.2	457.0
346	Whorlton Run	15-6-2010	11.3	329.0
410	Ben Sheann	16-6-2010	4.0	427.0
388	Rodneys Pillar Handicap Race	16-6-2010	6.3	290.0
376	Weets	16-6-2010	8.8	549.0
590	Grindleford	17-6-2010	7.7	152.0
749	Walsh Two Lads	17-6-2010	8.4	274.0
465	Wicken Hill Whizz	18-6-2010	4.8	305.0
528	40th Great Hill Race	19-6-2010	9.3	396.0
227	Buckden Pike	19-6-2010	6.4	457.0
529	Darren Jones Clougha Pike	19-6-2010	8.0	381.0
266	Great Lakes Run	19-6-2010	20.9	2134.0
530	James Blakeley Fell Race	19-6-2010	4.8	274.0
709	Moel Hebog	19-6-2010	6.4	732.0
466	Reservoir Bogs	19-6-2010	12.1	457.0
176	Tebay	19-6-2010	12.9	914.0
572	Hunshelf Amble	20-6-2010	11.3	396.0
267	Settle Hills	20-6-2010	11.3	533.0
844	Sutton Pinnacles	20-6-2010	9.3	271.0
468	Timothy Taylors Tom Tittiman	20-6-2010	6.4	213.0
561	Windy Gyle	20-6-2010	14.5	549.0
304	Beacon Batch	22-6-2010	8.0	305.0
228	Calton	22-6-2010	8.8	244.0
438	Harrock Hill 2	23-6-2010	8.4	274.0
716	Hotfoot Up Famau	23-6-2010	5.6	366.0
458	Langstrath	23-6-2010	7.2	427.0
385	Pontesbury	23-6-2010	4.8	354.0
657	Riber Run	23-6-2010	8.0	305.0
305	Aggies Staircase	24-6-2010	6.4	351.0
251	Blackamoor Chase	24-6-2010	9.7	442.0
658	Jon Clarke Memorial Race	25-6-2010	5.0	244.0
532	Tideswell	25-6-2010	7.1	259.0
850	Chrome Hill	26-6-2010	6.4	213.0
574	Comptons Cross Races	26-6-2010	14.5	274.0
177	Eldwick Gala	26-6-2010	4.8	168.0
583	Sedbergh 3 Peaks	26-6-2010	6.6	507.0
306	Whaley Waltz	26-6-2010	9.3	274.0
367	Arnison Dash	27-6-2010	3.2	305.0
733	Coity	27-6-2010	9.7	305.0
659	Cronkley	27-6-2010	16.9	534.0
755	Geat Bakewell Pudding Race	27-6-2010	10.1	213.0
533	Langley Fete	27-6-2010	4.7	198.0
651	Loughrigg And Silverhowe Chase	27-6-2010	13.7	771.0
217	Moel-y-gamelin	27-6-2010	15.3	725.0
535	North Devon Half Marathon	27-6-2010	21.1	413.0
534	North Devon Marathon	27-6-2010	42.2	1031.0
347	Maybeck 3 Crosses	29-6-2010	9.7	244.0
536	Cragg Vale	30-6-2010	6.4	244.0
